Left Speed |	 Right Speed |	 Left Error |	 Right Error |	 Left Effort |	 Right Effort |	
335.98 |	354.30 |	0.00 |	0.00 |	0.00 |	0.00
122.17 |	122.17 |	0.00 |	0.00 |	0.00 |	0.00
247.40 |	250.45 |	0.00 |	0.00 |	0.00 |	0.00
281.00 |	284.05 |	0.00 |	0.00 |	0.00 |	0.00
293.22 |	299.32 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	305.43 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	299.32 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	302.38 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	305.43 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	305.43 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
